,state,year,lrmer_co2e_kg_mwh,case
401,NE,2044,350.7,HighRECost
402,NE,2046,282.6,HighRECost
403,NE,2048,126.2,HighRECost
404,NE,2050,125.6,HighRECost
405,NH,2022,670.5,HighRECost
406,NH,2024,589.7,HighRECost
407,NH,2026,433.8,HighRECost
408,NH,2028,421.0,HighRECost
409,NH,2030,417.3,HighRECost
410,NH,2032,414.8,HighRECost
411,NH,2034,439.0,HighRECost
412,NH,2036,447.7,HighRECost
413,NH,2038,463.5,HighRECost
414,NH,2040,438.7,HighRECost
415,NH,2042,453.4,HighRECost
416,NH,2044,423.2,HighRECost
417,NH,2046,387.8,HighRECost
418,NH,2048,312.4,HighRECost
419,NH,2050,291.6,HighRECost
420,NJ,2022,552.7,HighRECost
421,NJ,2024,495.3,HighRECost
422,NJ,2026,439.6,HighRECost
423,NJ,2028,401.8,HighRECost
424,NJ,2030,366.2,HighRECost
425,NJ,2032,356.8,HighRECost
426,NJ,2034,311.9,HighRECost
427,NJ,2036,310.9,HighRECost
428,NJ,2038,277.8,HighRECost
429,NJ,2040,282.5,HighRECost
430,NJ,2042,285.6,HighRECost
431,NJ,2044,289.2,HighRECost
432,NJ,2046,289.5,HighRECost
433,NJ,2048,294.7,HighRECost
434,NJ,2050,292.0,HighRECost
435,NM,2022,530.5,HighRECost
436,NM,2024,473.1,HighRECost
437,NM,2026,382.2,HighRECost
438,NM,2028,342.2,HighRECost
439,NM,2030,322.4,HighRECost
440,NM,2032,300.1,HighRECost
441,NM,2034,267.4,HighRECost
442,NM,2036,241.0,HighRECost
443,NM,2038,227.0,HighRECost
444,NM,2040,214.0,HighRECost
445,NM,2042,201.0,HighRECost
446,NM,2044,160.3,HighRECost
447,NM,2046,139.1,HighRECost
448,NM,2048,107.4,HighRECost
449,NM,2050,113.0,HighRECost
450,NV,2022,466.1,HighRECost
451,NV,2024,434.6,HighRECost
452,NV,2026,372.4,HighRECost
453,NV,2028,340.5,HighRECost
454,NV,2030,317.6,HighRECost
455,NV,2032,309.1,HighRECost
456,NV,2034,359.1,HighRECost
457,NV,2036,354.6,HighRECost
458,NV,2038,353.5,HighRECost
459,NV,2040,296.7,HighRECost
460,NV,2042,302.6,HighRECost
461,NV,2044,258.5,HighRECost
462,NV,2046,250.9,HighRECost
463,NV,2048,207.6,HighRECost
464,NV,2050,225.4,HighRECost
465,NY,2022,606.7,HighRECost
466,NY,2024,493.4,HighRECost
467,NY,2026,282.3,HighRECost
468,NY,2028,229.8,HighRECost
469,NY,2030,187.6,HighRECost
470,NY,2032,169.3,HighRECost
471,NY,2034,149.2,HighRECost
472,NY,2036,151.8,HighRECost
473,NY,2038,137.4,HighRECost
474,NY,2040,134.4,HighRECost
475,NY,2042,128.0,HighRECost
476,NY,2044,115.6,HighRECost
477,NY,2046,103.0,HighRECost
478,NY,2048,90.3,HighRECost
479,NY,2050,87.2,HighRECost
480,OH,2022,650.1,HighRECost
481,OH,2024,583.8,HighRECost
482,OH,2026,453.0,HighRECost
483,OH,2028,438.3,HighRECost
484,OH,2030,451.4,HighRECost
485,OH,2032,444.7,HighRECost
486,OH,2034,470.1,HighRECost
487,OH,2036,484.8,HighRECost
488,OH,2038,533.9,HighRECost
489,OH,2040,535.0,HighRECost
490,OH,2042,542.2,HighRECost
491,OH,2044,511.3,HighRECost
492,OH,2046,479.4,HighRECost
493,OH,2048,424.0,HighRECost
494,OH,2050,404.7,HighRECost
495,OK,2022,706.4,HighRECost
496,OK,2024,532.3,HighRECost
497,OK,2026,347.4,HighRECost
498,OK,2028,302.7,HighRECost
499,OK,2030,377.1,HighRECost
500,OK,2032,344.3,HighRECost
501,OK,2034,407.1,HighRECost
502,OK,2036,407.3,HighRECost
503,OK,2038,467.2,HighRECost
504,OK,2040,410.3,HighRECost
505,OK,2042,454.8,HighRECost
506,OK,2044,378.1,HighRECost
507,OK,2046,294.3,HighRECost
508,OK,2048,157.1,HighRECost
509,OK,2050,141.4,HighRECost
510,OR,2022,593.0,HighRECost
511,OR,2024,522.9,HighRECost
512,OR,2026,417.3,HighRECost
513,OR,2028,403.0,HighRECost
514,OR,2030,406.3,HighRECost
515,OR,2032,393.9,HighRECost
516,OR,2034,384.3,HighRECost
517,OR,2036,372.2,HighRECost
518,OR,2038,359.0,HighRECost
519,OR,2040,347.0,HighRECost
520,OR,2042,344.1,HighRECost
521,OR,2044,306.8,HighRECost
522,OR,2046,286.3,HighRECost
523,OR,2048,252.3,HighRECost
524,OR,2050,260.7,HighRECost
525,PA,2022,711.2,HighRECost
526,PA,2024,623.9,HighRECost
527,PA,2026,524.1,HighRECost
